Country;IDCountry;populationGroup;IDpopulationGroup;Category1;IDCategory1;avg_GramsPerDay;CategoryLevel
France;75;Elderly;12;Fruit and fruit products;10487162;226;1
Germany;56;Infants;1;Milk and Milk based Products;10488473;226;1
France;75;Adults;10;Grains and grain products;10485778;226;1
Bulgaria;24;Adolescents;7;Milk and Milk based Products;10488473;225;1
Netherlands;162;Adults;10;Grains and grain products;10485778;224;1
Spain;67;Adolescents;7;Grains and grain products;10485778;223;1
Bulgaria;24;Elderly;12;Alcoholic beverages;10489503;223;1
Latvia;132;Adults;10;Grains and grain products;10485778;221;1
France;75;Elderly;12;Fruit and fruit products;10487162;220;1
Hungary;99;Elderly;12;Fruit and fruit products;10487162;220;1
France;75;Adults;10;Alcoholic beverages;10489503;219;1
Hungary;99;Elderly;12;Coffee and Tea;10489360;219;1
France;75;Elderly;12;Alcoholic beverages;10489503;218;1
Estonia;63;Adolescents;7;Fruit and fruit products;10487162;218;1
Ireland;101;Adults;10;Grains and grain products;10485778;218;1
Denmark;58;Adults;10;Grains and grain products;10485778;217;1
Sweden;193;Elderly;12;Alcoholic beverages;10489503;217;1
Denmark;58;Elderly;12;Fruit and fruit products;10487162;217;1
Slovakia;198;Adults;10;Fruit and fruit products;10487162;217;1
Germany;56;Adolescents;7;Milk and Milk based Products;10488473;217;1
Czech Republic;55;Adolescents;7;Alcoholic beverages;10489503;216;1
Spain;67;Adolescents;7;Grains and grain products;10485778;216;1
Portugal;180;Elderly;12;Coffee and Tea;10489360;216;1
France;75;Elderly;12;Grains and grain products;10485778;215;1
Croatia;97;Adults;10;Milk and Milk based Products;10488473;215;1
Finland;70;Elderly;12;Fruit and fruit products;10487162;215;1
Belgium;22;Adults;10;Grains and grain products;10485778;215;1
Austria;14;Adolescents;7;Milk and Milk based Products;10488473;215;1
Croatia;97;Adults;10;Grains and grain products;10485778;214;1
Romania;185;Adults;10;Alcoholic beverages;10489503;214;1
United Kingdom;77;Infants;1;Milk and Milk based Products;10488473;213;1
Estonia;63;Adults;10;Vegetables;10486258;213;1
Spain;67;Adults;10;Fruit and fruit products;10487162;212;1
Estonia;63;Adolescents;7;Alcoholic beverages;10489503;212;1
France;75;Adults;10;Milk and Milk based Products;10488473;212;1
Austria;14;Adults;10;Milk and Milk based Products;10488473;211;1
Portugal;180;Adults;10;Coffee and Tea;10489360;211;1
Denmark;58;Adolescents;7;Grains and grain products;10485778;211;1
Latvia;132;Adults;10;Vegetables;10486258;211;1
Denmark;58;Adults;10;Grains and grain products;10485778;209;1
Latvia;132;Adolescents;7;Grains and grain products;10485778;208;1
Denmark;58;Adolescents;7;Grains and grain products;10485778;208;1
United Kingdom;77;Adolescents;7;Milk and Milk based Products;10488473;208;1
France;75;Elderly;12;Grains and grain products;10485778;207;1
Romania;185;Adolescents;7;Fruit and fruit products;10487162;206;1
Germany;56;Adults;10;Milk and Milk based Products;10488473;205;1
Romania;185;Adolescents;7;Coffee and Tea;10489360;205;1
Bulgaria;24;Adults;10;Vegetables;10486258;205;1
Denmark;58;Adolescents;7;Alcoholic beverages;10489503;205;1
Spain;67;Adolescents;7;Meat;10487577;204;1
Netherlands;162;Elderly;12;Grains and grain products;10485778;204;1
Slovakia;198;Adults;10;Milk and Milk based Products;10488473;204;1
Italy;108;Adults;10;Fruit and fruit products;10487162;204;1
Netherlands;162;Elderly;12;Grains and grain products;10485778;204;1
Bulgaria;24;Adults;10;Milk and Milk based Products;10488473;204;1
United Kingdom;77;Adults;10;Milk and Milk based Products;10488473;203;1
Hungary;99;Adults;10;Fruit and fruit products;10487162;203;1
Bulgaria;24;Adults;10;Coffee and Tea;10489360;202;1
Croatia;97;Adults;10;Meat;10487577;202;1
Poland;175;Adults;10;Milk and Milk based Products;10488473;202;1
Spain;67;Adults;10;Vegetables;10486258;202;1
Slovenia;196;Adults;10;Meat;10487577;200;1
Denmark;58;Adults;10;Fruit and fruit products;10487162;200;1
Austria;14;Adults;10;Grains and grain products;10485778;200;1
Denmark;58;Elderly;12;Fruit and fruit products;10487162;199;1
United Kingdom;77;Adolescents;7;Grains and grain products;10485778;199;1
Romania;185;Adolescents;7;Meat;10487577;199;1
Germany;56;Adults;10;Fruit and fruit products;10487162;199;1
Hungary;99;Elderly;12;Alcoholic beverages;10489503;198;1
Latvia;132;Adults;10;Milk and Milk based Products;10488473;197;1
Poland;175;Adolescents;7;Meat;10487577;197;1
Latvia;132;Elderly;12;Fruit and fruit products;10487162;197;1
Denmark;58;Elderly;12;Grains and grain products;10485778;197;1
Italy;108;Adults;10;Milk and Milk based Products;10488473;196;1
Portugal;180;Infants;1;Water and water based beverages;10489266;196;1
Italy;108;Adolescents;7;Vegetables;10486258;196;1
Germany;56;Infants;1;Water and water based beverages;10489266;195;1
Spain;67;Adults;10;Vegetables;10486258;195;1
Latvia;132;Elderly;12;Vegetables;10486258;194;1
France;75;Elderly;12;Alcoholic beverages;10489503;194;1
Denmark;58;Elderly;12;Grains and grain products;10485778;194;1
Bulgaria;24;Elderly;12;Coffee and Tea;10489360;194;1
Latvia;132;Adults;10;Meat;10487577;194;1
United Kingdom;77;Adults;10;Grains and grain products;10485778;194;1
Romania;185;Elderly;12;Coffee and Tea;10489360;193;1
Finland;70;Elderly;12;Fruit and fruit products;10487162;193;1
Belgium;22;Adults;10;Milk and Milk based Products;10488473;193;1
United Kingdom;77;Elderly;12;Grains and grain products;10485778;193;1
Austria;14;Adults;10;Fruit and fruit products;10487162;193;1
Romania;185;Adults;10;Meat;10487577;192;1
France;75;Elderly;12;Milk and Milk based Products;10488473;192;1
Belgium;22;Elderly;12;Grains and grain products;10485778;191;1
Bulgaria;24;Adolescents;7;Coffee and Tea;10489360;191;1
Austria;14;Adults;10;Vegetables;10486258;191;1
Portugal;180;Adults;10;Grains and grain products;10485778;191;1
Czech Republic;55;Adolescents;7;Fruit and fruit products;10487162;191;1
Finland;70;Adults;10;Fruit and fruit products;10487162;190;1
Hungary;99;Adults;10;Meat;10487577;189;1
Bulgaria;24;Adults;10;Fish;10488027;189;1
Austria;14;Adolescents;7;Coffee and Tea;10489360;188;1
Czech Republic;55;Adults;10;Meat;10487577;188;1
Romania;185;Adolescents;7;Fish;10488027;188;1
Germany;56;Elderly;12;Milk and Milk based Products;10488473;188;1
Spain;67;Elderly;12;Alcoholic beverages;10489503;188;1
France;75;Elderly;12;Vegetables;10486258;187;1
Spain;67;Adolescents;7;Fruit and fruit products;10487162;187;1
Spain;67;Adults;10;Fruit and fruit products;10487162;186;1
Portugal;180;Adults;10;Alcoholic beverages;10489503;186;1
Spain;67;Adolescents;7;Alcoholic beverages;10489503;185;1
Italy;108;Elderly;12;Milk and Milk based Products;10488473;185;1
Austria;14;Adults;10;Milk and Milk based Products;10488473;184;1
Finland;70;Adults;10;Fruit and fruit products;10487162;183;1
Romania;185;Elderly;12;Milk and Milk based Products;10488473;182;1
Czech Republic;55;Adults;10;Milk and Milk based Products;10488473;182;1
Estonia;63;Adults;10;Meat;10487577;182;1
Sweden;193;Elderly;12;Fruit and fruit products;10487162;181;1
Netherlands;162;Elderly;12;Vegetables;10486258;181;1
Sweden;193;Adults;10;Grains and grain products;10485778;181;1
Romania;185;Adolescents;7;Grains and grain products;10485778;181;1
Bulgaria;24;Adolescents;7;Vegetables;10486258;181;1
Spain;67;Adults;10;Meat;10487577;180;1
Latvia;132;Adults;10;Fruit and fruit products;10487162;180;1
Germany;56;Adolescents;7;Coffee and Tea;10489360;179;1
Poland;175;Elderly;12;Fish;10488027;178;1
Romania;185;Elderly;12;Grains and grain products;10485778;178;1
Belgium;22;Elderly;12;Fruit and fruit products;10487162;178;1
Netherlands;162;Elderly;12;Fruit and fruit products;10487162;178;1
Estonia;63;Adolescents;7;Grains and grain products;10485778;178;1
Latvia;132;Adults;10;Fruit and fruit products;10487162;178;1
Ireland;101;Adults;10;Meat;10487577;178;1
Estonia;63;Adolescents;7;Coffee and Tea;10489360;177;1
