Country;IDCountry;populationGroup;IDpopulationGroup;CategoryLevel;Category1;IDCategory1;Category2;IDCategory2;avg_consume [grams/day/person];avg_consume [grams/kg body weight]
Slovakia;198;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10487675;107;1,307
Finland;70;Elderly;12;1;Meat and meat products;10487577;NULL;NULL;106,907;1,377
Austria;14;Elderly;12;1;Meat and meat products;10487577;NULL;NULL;106,863;1,386
Belgium;22;Adolescents;7;1;Vegetables;10486258;NULL;NULL;106,739;1,78
Portugal;180;Adolescents;7;1;Fruits and fruit products;10487162;NULL;NULL;106,588;2,198
United Kingdom;77;Very_elderly;13;2;Fruits and fruit products;10487162;Fruit;10490675;106,523;1,517
Finland;70;Elderly;12;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;106,464;1,229
France;75;Adolescents;7;2;Fruits and fruit products;10487162;Fruit;10490675;106,374;2,219
Estonia;63;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501080;106,25;2,059
Austria;14;Very_elderly;13;2;Vegetables;10486258;Roots and Tubers Vegetables;10486543;106,25;1,183
Portugal;180;Elderly;12;1;Meat and meat products;10487577;NULL;NULL;106,203;1,414
Germany;56;Adults;10;1;Vegetables;10486258;NULL;NULL;106,134;1,435
Latvia;132;Infants;1;1;Fruits and fruit products;10487162;NULL;NULL;106,049;15,226
Italy;108;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;105,975;1,561
Netherlands;162;Adolescents;7;1;Fruits and fruit products;10487162;NULL;NULL;105,944;2,104
Denmark;58;Very_elderly;13;1;Meat and meat products;10487577;NULL;NULL;105,822;1,484
Czech Republic;55;Adolescents;7;1;Vegetables;10486258;NULL;NULL;105,809;2,328
Spain;67;Elderly;12;2;Alcoholic beverages;10489503;Wine;10489530;105,698;1,434
Estonia;63;Adults;10;1;Fish and Seafood;10488027;NULL;NULL;105,657;1,514
France;75;Very_elderly;13;1;Alcoholic beverages;10489503;NULL;NULL;105,564;1,548
Slovakia;198;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501070;105,477;1,42
Bulgaria;24;Adults;10;2;Alcoholic beverages;10489503;Spirit Drinks and Liquers;10490639;105,387;1,441
United Kingdom;77;Adults;10;1;Meat and meat products;10487577;NULL;NULL;104,935;1,39
Netherlands;162;Adults;10;1;Vegetables;10486258;NULL;NULL;104,787;1,43
Bulgaria;24;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10487951;104,66;1,43
Latvia;132;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;104,529;1,314
Spain;67;Adolescents;7;1;Vegetables;10486258;NULL;NULL;104,463;2,179
Sweden;193;Very_elderly;13;2;Alcoholic beverages;10489503;Wine;10489530;104,444;1,451
Germany;56;Very_elderly;13;1;Vegetables;10486258;NULL;NULL;104,436;1,425
France;75;Adults;10;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;104,311;1,492
Hungary;99;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;104,183;1,465
Germany;56;Elderly;12;1;Meat and meat products;10487577;NULL;NULL;103,831;1,321
France;75;Very_elderly;13;2;Alcoholic beverages;10489503;Beer;10489514;103,771;1,519
Belgium;22;Adolescents;7;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;103,734;1,687
Bulgaria;24;Very_elderly;13;2;Meat and meat products;10487577;Processed Meat ;10487951;103,644;1,411
Slovenia;196;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10487951;103,618;1,352
Poland;175;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486393;103,375;1,413
Bulgaria;24;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10487725;103,15;1,368
Netherlands;162;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;103,111;1,336
Austria;14;Very_elderly;13;1;Fish and Seafood;10488027;NULL;NULL;102,889;1,51
Austria;14;Very_elderly;13;2;Fish and Seafood;10488027;Fish;10488028;102,889;1,51
Estonia;63;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;102,571;1,351
Netherlands;162;Adolescents;7;2;Fruits and fruit products;10487162;Fruit;10490675;102,183;2,026
Austria;14;Very_elderly;13;2;Vegetables;10486258;Fresh Vegetables;10486585;102,167;1,535
Portugal;180;Infants;1;1;Vegetables;10486258;NULL;NULL;101,998;12,137
Romania;185;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;101,643;1,441
Czech Republic;55;Adults;10;2;Fish and Seafood;10488027;Fish;10488028;101,22;1,386
Czech Republic;55;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;101,16;2,236
France;75;Very_elderly;13;2;Water and water based drinks;10489266;Water based beverages;10490622;101,01;1,335
Estonia;63;Adults;10;2;Fish and Seafood;10488027;Processed Fish and Seafood;10490580;100,969;1,389
Latvia;132;Elderly;12;2;Meat and meat products;10487577;Processed Meat ;10490573;100,953;1,27
Ireland;101;Very_elderly;13;2;Fruits and fruit products;10487162;Fruit;10490675;100,668;1,417
Sweden;193;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;100,57;1,335
Spain;67;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;100,546;2,091
Spain;67;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10487947;100,417;1,188
Austria;14;Adults;10;1;Meat and meat products;10487577;NULL;NULL;100,113;1,498
Latvia;132;Adults;10;2;Alcoholic beverages;10489503;Spirit Drinks and Liquers;10490639;100,075;1,196
Austria;14;Adults;10;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;100;1,363
Bulgaria;24;Adults;10;2;Fish and Seafood;10488027;Processed Fish and Seafood;10490580;100;1,593
Bulgaria;24;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10487947;100;1,319
Bulgaria;24;Very_elderly;13;2;Meat and meat products;10487577;Other meat products;10487831;100;1,25
Hungary;99;Very_elderly;13;2;Fish and Seafood;10488027;Fish;10488028;100;1,436
Poland;175;Elderly;12;2;Alcoholic beverages;10489503;Wine;10489530;100;1,235
Slovakia;198;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10487795;100;1,439
Slovenia;196;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10487892;100;0,98
Slovenia;196;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;99,823;1,459
Ireland;101;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;99,719;1,445
Germany;56;Adolescents;7;1;Meat and meat products;10487577;NULL;NULL;99,532;1,585
Austria;14;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10487725;99,25;1,255
Slovakia;198;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10487725;99,103;1,582
Poland;175;Elderly;12;2;Meat and meat products;10487577;Processed Meat ;10487951;98,625;1,314
Bulgaria;24;Very_elderly;13;2;Vegetables;10486258;Fresh Vegetables;10486326;98,593;1,516
United Kingdom;77;Adults;10;1;Meat and meat products;10487577;NULL;NULL;97,896;1,29
France;75;Elderly;12;2;Water and water based drinks;10489266;Water based beverages;10490622;97,823;1,32
Sweden;193;Very_elderly;13;1;Meat and meat products;10487577;NULL;NULL;97,814;1,304
Poland;175;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486393;97,753;2,104
Latvia;132;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;97,64;1,268
Italy;108;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486326;97,598;1,381
Netherlands;162;Adolescents;7;1;Meat and meat products;10487577;NULL;NULL;97,58;1,875
Bulgaria;24;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486393;97,578;1,635
Italy;108;Elderly;12;2;Water and water based drinks;10489266;Water based beverages;10490622;97,361;1,418
Estonia;63;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;97,307;1,33
Denmark;58;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;97,26;1,296
Bulgaria;24;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486326;97,236;1,639
Sweden;193;Adults;10;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;97,229;1,351
Netherlands;162;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;97,201;1,228
Ireland;101;Very_elderly;13;2;Water and water based drinks;10489266;Water based beverages;10490622;96,964;1,505
Austria;14;Elderly;12;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;96,875;1,202
Latvia;132;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501080;96,875;1,664
Denmark;58;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;96,814;1,312
Poland;175;Adolescents;7;2;Fish and Seafood;10488027;Processed Fish and Seafood;10490580;96,687;2,063
Estonia;63;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10487947;96,667;1,467
Bulgaria;24;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;96,649;1,351
Italy;108;Adults;10;2;Alcoholic beverages;10489503;Wine;10489530;96,311;1,329
Austria;14;Adolescents;7;1;Meat and meat products;10487577;NULL;NULL;95,998;2,075
Ireland;101;Adults;10;1;Fruits and fruit products;10487162;NULL;NULL;95,724;1,313
France;75;Infants;1;1;Fruits and fruit products;10487162;NULL;NULL;95,663;10,744
Spain;67;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;95,651;1,462
Netherlands;162;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486260;95,647;1,237
Portugal;180;Adolescents;7;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;95,57;1,796
Estonia;63;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10487951;95,508;1,346
Sweden;193;Adolescents;7;1;Fruits and fruit products;10487162;NULL;NULL;95,494;2,319
Finland;70;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10487795;95,377;1,149
Latvia;132;Adults;10;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;95;1,125
Netherlands;162;Adolescents;7;1;Vegetables;10486258;NULL;NULL;94,923;1,834
France;75;Very_elderly;13;1;Meat and meat products;10487577;NULL;NULL;94,76;1,345
France;75;Elderly;12;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;94,562;1,036
Italy;108;Infants;1;1;Fruits and fruit products;10487162;NULL;NULL;94,559;10,13
France;75;Adolescents;7;1;Meat and meat products;10487577;NULL;NULL;94,361;1,922
Italy;108;Infants;1;2;Fruits and fruit products;10487162;Fruit;10490675;94,298;10,104
Bulgaria;24;Elderly;12;2;Alcoholic beverages;10489503;Spirit Drinks and Liquers;10490639;94,286;1,124
France;75;Adolescents;7;1;Vegetables;10486258;NULL;NULL;94,214;1,97
France;75;Infants;1;2;Fruits and fruit products;10487162;Processed Fruit;10487476;94,091;10,905
Estonia;63;Adults;10;2;Fish and Seafood;10488027;Fish;10488028;94,071;1,387
Spain;67;Adults;10;2;Alcoholic beverages;10489503;Wine;10489530;93,945;1,265
Finland;70;Adolescents;7;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;93,75;2,056
Estonia;63;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;93,7;1,187
Finland;70;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;93,578;1,259
Latvia;132;Infants;1;2;Water and water based drinks;10489266;Water based beverages;10490622;93,472;13,333
Slovenia;196;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486393;93,44;1,294
Romania;185;Adults;10;2;Water and water based drinks;10489266;Water based beverages;10490622;93,241;1,345
Austria;14;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486326;93,239;1,197
Germany;56;Very_elderly;13;1;Meat and meat products;10487577;NULL;NULL;93,166;1,219
Austria;14;Adolescents;7;2;Fruits and fruit products;10487162;Fruit;10490675;93,116;2,09
Cyprus;54;Adolescents;7;1;Vegetables;10486258;NULL;NULL;93,109;1,761
Finland;70;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;93,06;1,219
Austria;14;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486260;92,984;1,353
Spain;67;Adults;10;2;Alcoholic beverages;10489503;Wine;10489530;92,917;1,244
Latvia;132;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486326;92,845;1,164
Austria;14;Elderly;12;1;Fish and Seafood;10488027;NULL;NULL;92,8;1,285
Portugal;180;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;92,437;1,231
Poland;175;Elderly;12;2;Vegetables;10486258;Other Vegetable products;10486636;92,417;1,397
Belgium;22;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501080;92,392;1,504
Slovenia;196;Adults;10;2;Fish and Seafood;10488027;Processed Fish and Seafood;10490580;92,363;1,211
Latvia;132;Elderly;12;2;Fish and Seafood;10488027;Fish;10488028;92,337;1,15
Estonia;63;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;92,31;2,478
Austria;14;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486260;92,191;1,284
Belgium;22;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;92,18;1,309
Italy;108;Very_elderly;13;1;Meat and meat products;10487577;NULL;NULL;92,142;1,379
Hungary;99;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;92,054;1,246
Hungary;99;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;91,859;1,367
Germany;56;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501080;91,65;1,425
France;75;Very_elderly;13;2;Water and water based drinks;10489266;Water based beverages;10490622;91,612;1,521
Latvia;132;Adults;10;2;Vegetables;10486258;Legumes;10486507;91,25;1,18
Estonia;63;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501080;91,157;1,318
Latvia;132;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;91,061;1,862
Estonia;63;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486326;91,039;2,504
Czech Republic;55;Adolescents;7;2;Fish and Seafood;10488027;Fish;10488028;91,014;2,104
Belgium;22;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;91,003;1,267
Poland;175;Very_elderly;13;1;Alcoholic beverages;10489503;NULL;NULL;91;1,229
Netherlands;162;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;90,899;1,171
Austria;14;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;90,816;1,342
Denmark;58;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;90,56;1,804
Spain;67;Infants;1;2;Vegetables;10486258;Processed Vegetables;10486762;90,435;9,504
Austria;14;Elderly;12;2;Vegetables;10486258;Processed Vegetables;10486762;90,429;1,194
France;75;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486585;90,377;1,303
Belgium;22;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501080;89,901;1,296
Slovakia;198;Adults;10;2;Meat and meat products;10487577;Other meat products;10488018;89,806;1,168
Romania;185;Adults;10;2;Alcoholic beverages;10489503;Wine;10489530;89,751;1,116
Sweden;193;Adolescents;7;2;Fruits and fruit products;10487162;Fruit;10490675;89,696;2,189
Sweden;193;Adults;10;2;Alcoholic beverages;10489503;Wine;10489530;89,694;1,269
Portugal;180;Very_elderly;13;1;Meat and meat products;10487577;NULL;NULL;89,68;1,259
Bulgaria;24;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501070;89,657;1,194
Latvia;132;Adolescents;7;1;Vegetables;10486258;NULL;NULL;89,573;1,754
Spain;67;Adolescents;7;1;Vegetables;10486258;NULL;NULL;89,469;1,711
Spain;67;Elderly;12;1;Meat and meat products;10487577;NULL;NULL;89,388;1,219
Poland;175;Very_elderly;13;2;Vegetables;10486258;Fresh Vegetables;10486393;89,38;1,21
Austria;14;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486585;89,31;1,278
Bulgaria;24;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10497989;89,201;1,289
Bulgaria;24;Elderly;12;2;Alcoholic beverages;10489503;Wine;10489530;89,167;1,151
Romania;185;Adults;10;2;Water and water based drinks;10489266;Beverages Concentrates;10490623;89,011;1,301
Italy;108;Very_elderly;13;2;Vegetables;10486258;Fresh Vegetables;10486326;88,776;1,347
Sweden;193;Very_elderly;13;1;Vegetables;10486258;NULL;NULL;88,722;1,199
Italy;108;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486326;88,677;1,754
Finland;70;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486326;88,141;1,14
Bulgaria;24;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;88,132;1,298
Czech Republic;55;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10487760;87,993;1,127
Latvia;132;Adults;10;2;Alcoholic beverages;10489503;Spirit Drinks and Liquers;10490639;87,65;1,132
Latvia;132;Adults;10;2;Fish and Seafood;10488027;Fish;10488028;87,542;1,156
Spain;67;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486260;87,5;1,651
Ireland;101;Adults;10;2;Fruits and fruit products;10487162;Fruit;10490675;87,445;1,201
Poland;175;Adults;10;2;Vegetables;10486258;Roots and Tubers Vegetables;10486543;87,32;1,234
Netherlands;162;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;87,273;1,154
Belgium;22;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;87,259;1,262
Germany;56;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;87,239;1,137
Belgium;22;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486326;87,057;1,237
Slovenia;196;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10487725;86,95;0,897
Estonia;63;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10490573;86,947;1,237
Estonia;63;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;86,875;1,534
Spain;67;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;86,854;1,215
Estonia;63;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486326;86,822;1,121
Germany;56;Adults;10;2;Fish and Seafood;10488027;Seafood;10488439;86,7;1,088
Spain;67;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486260;86,556;1,581
Estonia;63;Adolescents;7;2;Fish and Seafood;10488027;Fish;10488028;86,5;2,391
Bulgaria;24;Elderly;12;2;Meat and meat products;10487577;Processed Meat ;10487951;86,492;1,242
Latvia;132;Adolescents;7;2;Meat and meat products;10487577;Other meat products;10487831;86,25;1,797
Latvia;132;Adults;10;1;Fish and Seafood;10488027;NULL;NULL;86,212;1,134
Estonia;63;Adults;10;2;Alcoholic beverages;10489503;Spirit Drinks and Liquers;10490639;86,075;1,065
Austria;14;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10487725;86;1,265
Austria;14;Adults;10;2;Fish and Seafood;10488027;Fish;10488028;85,88;1,269
Bulgaria;24;Adolescents;7;2;Meat and meat products;10487577;Processed Meat ;10487951;85,663;1,411
Latvia;132;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486326;85,633;1,682
Austria;14;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10487951;85,586;1,189
Finland;70;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;85,479;1,116
Latvia;132;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;85,449;1,662
Austria;14;Adolescents;7;1;Fruits and fruit products;10487162;NULL;NULL;85,159;1,911
Spain;67;Infants;1;1;Vegetables;10486258;NULL;NULL;84,979;9,37
Germany;56;Adolescents;7;1;Meat and meat products;10487577;NULL;NULL;84,972;2,206
Denmark;58;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;84,916;1,177
France;75;Adolescents;7;1;Fruits and fruit products;10487162;NULL;NULL;84,641;1,769
Belgium;22;Very_elderly;13;2;Vegetables;10486258;Fresh Vegetables;10486326;84,621;1,226
Slovakia;198;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486260;84,575;1,213
Poland;175;Very_elderly;13;2;Vegetables;10486258;Legumes;10486507;84,529;1,362
Netherlands;162;Very_elderly;13;2;Vegetables;10486258;Fresh Vegetables;10486260;84,506;1,171
Italy;108;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;84,401;1,188
Italy;108;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;84,337;1,68
Denmark;58;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;84,176;1,135
Bulgaria;24;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10497989;84,019;1,245
Spain;67;Adults;10;1;Fish and Seafood;10488027;NULL;NULL;84,011;1,26
Denmark;58;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;84,01;1,12
United Kingdom;77;Elderly;12;1;Meat and meat products;10487577;NULL;NULL;83,944;1,074
Netherlands;162;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486260;83,903;1,101
Latvia;132;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10490573;83,86;1,07
Czech Republic;55;Adults;10;2;Meat and meat products;10487577;Processed Meat ;10487951;83,814;1,084
Latvia;132;Elderly;12;1;Fish and Seafood;10488027;NULL;NULL;83,709;1,036
Latvia;132;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;83,706;1,132
Sweden;193;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501073;83,703;1,109
Estonia;63;Adults;10;2;Vegetables;10486258;Other Vegetable products;10486636;83,625;1,329
Bulgaria;24;Elderly;12;2;Vegetables;10486258;Legumes;10486507;83,617;1,135
Italy;108;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10501073;83,544;1,218
Denmark;58;Very_elderly;13;2;Vegetables;10486258;Fresh Vegetables;10486326;83,496;1,37
Cyprus;54;Adolescents;7;2;Water and water based drinks;10489266;Drinking water;10489267;83,333;2,153
Netherlands;162;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486260;83,319;1,106
Denmark;58;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;83,318;1,666
Germany;56;Elderly;12;2;Fish and Seafood;10488027;Fish;10488028;83,3;1,097
Poland;175;Adults;10;2;Vegetables;10486258;Other Vegetable products;10486636;83,274;1,17
Cyprus;54;Adolescents;7;1;Meat and meat products;10487577;NULL;NULL;82,965;1,627
Czech Republic;55;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486258;82,833;1,216
Finland;70;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;82,719;1,566
Czech Republic;55;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;82,652;1,143
Finland;70;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;82,491;1,112
Slovakia;198;Adults;10;2;Vegetables;10486258;Processed Vegetables;10486762;82,323;1,135
Germany;56;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10487795;81,936;1,172
Slovakia;198;Adults;10;2;Fruits and fruit products;10487162;Processed Fruit;10487476;81,912;1,122
United Kingdom;77;Adolescents;7;2;Fruits and fruit products;10487162;Fruit;10490675;81,869;1,636
Netherlands;162;Elderly;12;2;Fish and Seafood;10488027;Fish;10488028;81,531;1,051
Germany;56;Very_elderly;13;2;Fish and Seafood;10488027;Fish;10488028;81,482;1,102
France;75;Adolescents;7;2;Alcoholic beverages;10489503;Beer;10489514;81,461;1,543
Denmark;58;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;81,39;1,131
Belgium;22;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486260;81,307;1,157
Netherlands;162;Very_elderly;13;2;Vegetables;10486258;Fresh Vegetables;10486393;80,886;1,089
Czech Republic;55;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486326;80,868;1,77
Bulgaria;24;Adults;10;2;Meat and meat products;10487577;Unprocessed Meat;10487725;80,852;1,132
Portugal;180;Very_elderly;13;2;Meat and meat products;10487577;Unprocessed Meat;10501073;80,839;1,141
Poland;175;Adults;10;2;Vegetables;10486258;Processed Vegetables;10486762;80,832;1,121
Croatia;97;Adults;10;1;Fish and Seafood;10488027;NULL;NULL;80,698;1,07
Netherlands;162;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486260;80,658;1,08
United Kingdom;77;Adolescents;7;1;Fruits and fruit products;10487162;NULL;NULL;80,572;1,608
Hungary;99;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486393;80,502;1,205
Spain;67;Adults;10;1;Fish and Seafood;10488027;NULL;NULL;80,274;1,143
Spain;67;Infants;1;1;Water and water based drinks;10489266;NULL;NULL;80,257;8,817
Spain;67;Infants;1;2;Water and water based drinks;10489266;Drinking water;10489267;80,257;8,817
Latvia;132;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486258;80,192;0,999
Latvia;132;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486260;80;1,621
United Kingdom;77;Adolescents;7;1;Meat and meat products;10487577;NULL;NULL;79,919;1,518
Sweden;193;Adults;10;2;Water and water based drinks;10489266;Beverages Concentrates;10490623;79,903;1,198
Latvia;132;Adults;10;2;Alcoholic beverages;10489503;Alcoholic beverages;10489503;79,853;1,096
Cyprus;54;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486326;79,825;1,503
Spain;67;Infants;1;2;Fruits and fruit products;10487162;Processed Fruit;10487476;79,766;8,497
Czech Republic;55;Adults;10;1;Fish and Seafood;10488027;NULL;NULL;79,578;1,077
Slovenia;196;Adults;10;2;Vegetables;10486258;Processed Vegetables;10486762;79,557;1,081
Germany;56;Elderly;12;2;Meat and meat products;10487577;Unprocessed Meat;10501080;79,532;1
Netherlands;162;Adolescents;7;2;Meat and meat products;10487577;Unprocessed Meat;10501073;79,527;1,524
France;75;Adolescents;7;2;Vegetables;10486258;Fresh Vegetables;10486326;79,471;1,639
Finland;70;Elderly;12;1;Fish and Seafood;10488027;NULL;NULL;79,418;1,041
Belgium;22;Adolescents;7;2;Alcoholic beverages;10489503;Wine;10489530;79,384;1,246
Austria;14;Adults;10;1;Fish and Seafood;10488027;NULL;NULL;79,379;1,165
Sweden;193;Elderly;12;1;Vegetables;10486258;NULL;NULL;79,345;1,099
Austria;14;Elderly;12;2;Vegetables;10486258;Legumes;10486507;79,333;1,097
Spain;67;Adolescents;7;2;Meat and meat products;10487577;Other meat products;10487831;79,225;1,65
Belgium;22;Adults;10;2;Vegetables;10486258;Fresh Vegetables;10486326;79,13;1,151
Netherlands;162;Elderly;12;1;Fish and Seafood;10488027;NULL;NULL;79,112;1,015
Finland;70;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486326;79,078;1,065
Germany;56;Elderly;12;2;Vegetables;10486258;Fresh Vegetables;10486326;79,072;1,046
Belgium;22;Elderly;12;2;Fish and Seafood;10488027;Fish;10488028;78,898;1,08
Netherlands;162;Adults;10;2;Fish and Seafood;10488027;Seafood;10488341;78,854;0,953
Belgium;22;Elderly;12;2;Alcoholic beverages;10489503;Mixed Alcoholic Drinks;10489589;78,802;1,043
Latvia;132;Adults;10;2;Meat and meat products;10487577;Other meat products;10487831;78,75;0,717
Slovenia;196;Adults;10;2;Fruits and fruit products;10487162;Processed Fruit;10487476;78,691;1,079
Sweden;193;Adults;10;1;Vegetables;10486258;NULL;NULL;78,689;1,084
Poland;175;Very_elderly;13;2;Meat and meat products;10487577;Processed Meat ;10487951;78,677;1,196
